Kabupaten/Kota,Tahun,APS,Penduduk Miskin,Kepadatan Penduduk,IPM,Rasio Murid-Guru,PDRB per Kapita,UMR,TPT,RataRataLamaSekolah
Kota Mojokerto,2018,,7.04,7772,77.14,16,49370,1886387.56,2.44,9.99
Kota Mojokerto,2019,0.18,6.63,7833,77.96,16,52536,2263665.07,2.63,10.24
Kota Mojokerto,2020,,8.09,6553,78.04,16,49840,2456302.97,6.74,10.25
Kota Mojokerto,2021,,8.37,6594,78.43,16,52041,2481302.97,6.87,10.47
Kota Pasuruan,2018,0.1,13.45,5639,74.78,16,38714,2067612.56,4.5,9.1
Kota Pasuruan,2019,0.14,12.92,5679,75.25,16,41325,2575616.61,4.89,9.11
Kota Pasuruan,2020,0.12,13.4,5894,75.26,16,38774,2794801.59,6.33,9.12
Kota Pasuruan,2021,0.05,13.97,5937,75.62,17,40525,2819801.59,6.23,9.33
Kota Pekalongan,2018,0.05,20.52,6772,74.24,16,33136,1765178.63,6.08,8.57
Kota Pekalongan,2019,0.19,20.21,6787,74.77,15,35593,1906922.47,5.8,8.71
Kota Pekalongan,2020,,22.16,6788,74.98,14,35261,2072000,7.02,8.96
Kota Pekalongan,2021,,23.49,6813.48,75.4,15,37068,2139754,6.89,9.18
Kota Probolinggo,2018,0.13,16.9,4147,72.53,15,44732,1886387.56,3.56,8.49
Kota Probolinggo,2019,0.34,16.37,4186,73.27,16,47804,2137864.48,4.25,8.69
Kota Probolinggo,2020,,17.72,4229,73.27,15,46302,2319796.75,6.7,8.7
Kota Probolinggo,2021,0.54,17.91,4256,73.66,19,48507,2350000.00,6.55,8.95
Kota Salatiga,2018,,9.24,3617,82.41,16,64410,1735930.06,4.23,10.4
Kota Salatiga,2019,0.05,9.21,3384,83.12,17,68886,1875325.24,4.33,10.41
Kota Salatiga,2020,0.07,9.69,3353,83.14,15,69142,2034915.42,7.44,10.42
Kota Salatiga,2021,0.02,10.14,3373.87,83.6,16,72376,2101457,7.26,10.66
Kota Semarang,2018,0.01,73.65,4780,82.72,17,98103,2310087.5,5.21,10.51
Kota Semarang,2019,0.09,71.97,4853,83.19,16,105935,2498587.53,4.5,10.52
Kota Semarang,2020,0.02,79.58,4424,83.05,15,114205,2715000,9.57,10.53
Kota Semarang,2021,0.01,84.45,4431.92,83.55,16,123983,2810025,9.54,10.78
Kota Serang,2018,0.05,36.21,2541,71.68,18,42757,3116276,8.1,8.62
Kota Serang,2019,0.57,36.21,2582,72.1,18,45977,3366512,8.07,8.67
Kota Serang,2020,0.11,42.24,2595,72.16,18,45847,3773940,9.26,8.76
Kota Serang,2021,0.22,47.91,2642,72.44,18,47327,3830549,9.41,8.89
Kota Sukabumi,2018,0.08,23.2,6762,73.55,17,35163,2158430.53,8.57,9.53
Kota Sukabumi,2019,0.39,21.9,6812,74.31,13,37928,2331752.5,8.49,9.58
Kota Sukabumi,2020,0.45,25.4,7178,74.21,17,35926,2530182.63,12.17,9.59
Kota Sukabumi,2021,0.11,27.2,7271,74.6,18,37209,2530182.63,10.78,9.81
Kota Surabaya,2018,0.03,140.81,8233,81.74,18,186739,3583312.61,6.01,10.46
Kota Surabaya,2019,0.18,130.55,8262,82.22,19,200359,3871052.61,5.76,10.47
Kota Surabaya,2020,0.05,145.67,8200,82.23,17,193010,4200479.19,9.79,10.49
Kota Surabaya,2021,0.06,152.49,8217,82.31,17,204920,4300479.19,9.68,10.5
Kota Surakarta,2018,0.02,46.99,11762,81.46,15,85791,1668700,4.35,10.53
Kota Surakarta,2019,0.1,45.18,11293,81.86,15,92835,1802700,4.16,10.54
Kota Surakarta,2020,0.02,47.03,11353,82.21,15,91171,1956200,7.92,10.69
Kota Surakarta,2021,,48.79,11361.18,82.62,16,96363,2013810,7.85,10.9
Kota Tangerang,2018,0.07,103.49,14197,77.92,18,73839,3582077,7.39,10.51
Kota Tangerang,2019,0.1,98.37,14486,78.43,19,78047,3869717,7.14,10.65
Kota Tangerang,2020,0.03,118.22,12314,78.25,18,75897,4199029,8.63,10.69
Kota Tangerang,2021,0.03,134.24,12421,78.5,19,78628,4262015,9.07,10.83
Kota Tangerang Selatan,2018,0.03,28.21,11525,81.17,17,44239,3555835,4.67,11.78
Kota Tangerang Selatan,2019,0.11,29.16,11875,81.48,16,49345,3841368,4.78,11.8
Kota Tangerang Selatan,2020,0.03,40.99,9201,81.36,15,60996,4168268,8.48,11.81
Kota Tangerang Selatan,2021,0.01,44.57,9278,81.6,17,64337,4230793,8.6,11.82
Kota Tasikmalaya,2018,0.01,84.2,3862,72.03,17,30145,1931435.35,6.89,9.04
Kota Tasikmalaya,2019,0.03,77,3866,72.84,15,32213,2086529.61,6.78,9.13
Kota Tasikmalaya,2020,0.01,86.1,4173,73.04,18,30223,2264093.28,7.99,9.33
Kota Tasikmalaya,2021,0.02,89.5,4218,73.31,18,31558,2264093.28,7.66,9.52
Kota Tegal,2018,0.02,19.44,7220,74.44,15,56644,1630500,7.81,8.3
Kota Tegal,2019,1.19,18.64,6298,74.93,17,61475,1762000,8.08,8.31
Kota Tegal,2020,0.05,19.55,6901,75.07,15,55724,1925000,8.4,8.51
Kota Tegal,2021,0.02,20.27,6950.13,75.52,17,58079,1982750,8.25,8.73
Kota Yogyakarta,2018,0.02,29.75,13154,86.11,14,79035.65,1709150,6.22,11.44
Kota Yogyakarta,2019,0.07,29.45,13290,86.65,13,84227,1848400,4.8,11.45
Kota Yogyakarta,2020,,31.62,11495,86.61,13,95681,2004000,9.16,11.46
Kota Yogyakarta,2021,0.01,34.07,11579,87.18,14,102084,2069530,9.13,11.72
Kudus,2018,0.06,59.99,2026,74.58,18,120795,1892500,3.28,8.62
Kudus,2019,0.09,58,2049,74.94,19,127521,2044467.75,3.8,8.63
Kudus,2020,0.01,64.24,1997,75,17,129130,2218451.95,5.53,8.75
Kudus,2021,0.05,67.06,2005.04,75.16,18,126947,2290995,3.77,8.76
Kulonprogo,2018,,77.72,726,73.76,12,24221.56,1493250,1.49,8.65
Kulonprogo,2019,0.15,74.62,734,74.44,11,27764,1613200,1.8,8.66
Kulonprogo,2020,0.04,78.06,744,74.46,11,26772,1750500,3.71,8.86
Kulonprogo,2021,0.04,81.14,756,74.71,13,28070,1770000,3.69,9.02
Kuningan,2018,0.11,131.2,968,68.55,19,21186,1606030.12,9.1,7.36
Kuningan,2019,0.24,123.2,973,69.12,15,23152,1734994.34,9.68,7.38
Kuningan,2020,0.86,139.2,1051,69.38,18,21996,1882642.36,11.22,7.57
Kuningan,2021,,143.4,1063,69.71,19,22805,1882642.36,11.68,7.8
Lamongan,2018,0.33,164,667,71.97,14,31309,1851083.98,3.1,7.83
Lamongan,2019,0.35,157.11,667,72.57,14,33109,2233641.85,3.89,7.89
Lamongan,2020,0.09,164.68,754,72.58,14,29221,2423724.77,5.13,7.92
Lamongan,2021,0.09,166.82,761,73.12,13,30267,2488724.77,4.9,8.04
Lumajang,2018,0.09,103.69,581,64.83,17,29516,1691041.12,2.46,6.21
Lumajang,2019,0.44,98.88,582,65.33,17,31293,1826831.72,2.73,6.22
Lumajang,2020,0.09,102.6,625,65.46,17,28707,1982295.10,3.36,6.4
Lumajang,2021,0.07,105.25,629,66.07,17,29881,1982295.10,3.51,6.67
Madiun,2018,,77.75,656,71.01,16,25882,1576892.91,3.71,7.57
Madiun,2019,0.22,71.91,658,71.69,16,27724,1763267.65,3.52,7.8
Madiun,2020,0.03,78.3,717,71.73,16,25475,1913321.73,4.8,7.81
Madiun,2021,0.06,81.61,723,71.88,17,26342,1951588.16,4.99,7.82
Magelang,2018,0.07,143.44,1179,69.11,18,23710,1742000,2.89,7.57
Magelang,2019,0.49,137.45,1170,69.87,17,25297,1882000,3.07,7.77
Magelang,2020,0.07,146.34,1179,69.87,16,25006,2042200,4.27,7.78
Magelang,2021,0.09,154.91,1183.68,70.12,17,26178,2075000,5.03,7.79
Magetan,2018,0.08,64.86,913,72.91,15,28022,1509816.12,3.82,7.95
Magetan,2019,0.16,60.43,913,73.49,15,29746,1763267.65,2.98,7.96
Magetan,2020,0.1,65.09,974,73.92,15,28024,1913321.73,3.74,8.24
Magetan,2021,0.07,67.75,979,74.15,16,29056,1938321.73,3.86,8.36
Majalengka,2018,0.03,129.3,996,66.72,19,23429,1658514.54,5,6.91
Majalengka,2019,0.1,121.1,1001,67.52,17,25812,1791693.26,4.37,7.09
Majalengka,2020,0.08,138.2,1084,67.59,18,24726,1944166.36,5.84,7.27
Majalengka,2021,0.02,151.1,1095,67.81,20,25964,2009000,5.71,7.31
Malang,2018,0.25,268.49,734,69.4,18,37359,2574807.22,3.15,7.18
Malang,2019,0.57,246.6,738,70.35,19,39780,2781564.24,3.7,7.27
Malang,2020,0.12,265.56,752,70.36,17,38495,3018275.36,5.49,7.42
Malang,2021,0.08,276.58,756,70.6,17,40114,3068275.36,5.4,7.43
Mojokerto,2018,0.37,111.55,1545,72.64,16,69159,3565660.82,4.21,8.18
Mojokerto,2019,0.2,108.81,1557,73.53,17,73651,3851983.38,3.61,8.49
Mojokerto,2020,0.3,118.8,1559,73.83,17,73335,4179787.17,5.75,8.51
Mojokerto,2021,0.21,120.54,1568,74.15,17,77530,4279787.17,5.54,8.64
Nganjuk,2018,0.28,127.28,859,71.23,17,23560,1660444.69,2.6,7.61
Nganjuk,2019,0.06,118.51,861,71.71,17,25269,1801406.09,3.16,7.63
Nganjuk,2020,0.06,122.73,902,71.72,17,24134,1954705.75,4.8,7.64
Nganjuk,2021,0.02,125.53,906,71.97,17,25280,1954705.75,4.98,7.78
Ngawi,2018,0.18,123.09,640,69.91,19,23058,1569832.19,3.75,6.88
Ngawi,2019,0.44,119.43,641,70.41,19,24408,1763267.65,3.6,6.98
Ngawi,2020,0.01,128.19,671,70.54,17,23323,1913321.73,5.44,7.06
Ngawi,2021,0.2,130.81,674,71.04,16,23833,1960510.00,4.25,7.26
Pacitan,2018,,78.64,399,67.33,14,27000,1509816.12,1.39,7.19
Pacitan,2019,0.1,75.86,400,68.16,14,28734,1763267.65,0.91,7.28
Pacitan,2020,0.07,80.82,422,68.39,13,26972,1913321.73,2.28,7.6
Pacitan,2021,,84.19,424,68.57,13,27807,1961154.77,2.04,7.61
Pamekasan,2018,0.68,125.76,1099,65.41,14,18259,1588660.76,2.88,6.35
Pamekasan,2019,0.61,122.43,1111,65.94,13,19331,1763267.65,2.26,6.4
Pamekasan,2020,0.42,129.41,1073,66.26,12,19779,1913321.73,3.49,6.69
Pamekasan,2021,0.32,137.12,1077,66.4,12,20690,1938321.73,3.1,6.7
Pangandaran,2018,0.03,32.2,393,67.44,17,26064,1558793.94,3.59,7.58
Pangandaran,2019,0.14,30.7,395,68.21,14,28206,1714673.33,4.52,7.67
Pangandaran,2020,0.05,36.1,419,68.06,18,27195,1860591.33,5.08,7.74
Pangandaran,2021,,39.1,423,68.28,18,28366,1860591.33,3.25,7.85
Pasuruan,2018,0.2,152.48,1097,67.41,17,84045,3574486.72,5.94,6.83
Pasuruan,2019,0.15,141.09,1104,68.29,18,89581,3861518,5.22,7.11
Pasuruan,2020,0.04,151.43,1090,68.6,17,90747,4190133.19,6.24,7.4
Pasuruan,2021,0.1,159.78,1093,68.93,17,97500,4290133.19,6.03,7.41
Pati,2018,0.2,123.94,840,70.71,18,31837,1585000,3.57,7.18
Pati,2019,0.46,118.98,846,71.35,18,34340,1742000,3.64,7.19
Pati,2020,0.08,127.37,889,71.77,15,32741,1891000,4.74,7.44
Pati,2021,,128.74,893.76,72.28,16,34238,1953000,4.6,7.48
Pekalongan,2018,0.22,89.54,1067,68.97,18,23898,1721637.55,4.36,6.74
Pekalongan,2019,0.2,87.01,1073,69.71,17,25588,1859885.05,4.35,6.88
Pekalongan,2020,0.08,91.86,1157,69.63,15,23596,2018161.27,6.97,6.91
Pekalongan,2021,0.15,95.26,1166.67,70.11,17,24609,2084155,4.28,7.17
Pemalang,2018,0.04,208.34,1284,65.67,18,18212,1588000,6.17,6.32
Pemalang,2019,0.38,200.67,1165,66.32,17,19655,1718000,6.45,6.41
Pemalang,2020,0.02,209.03,1316,66.32,15,17596,1865000,7.64,6.42
Pemalang,2021,0.02,215.08,1327.52,66.56,17,18493,1926000,6.71,6.45
Ponorogo,2018,0.08,90.22,667,69.91,15,22021,1509816.12,3.77,7.17
Ponorogo,2019,0.4,83.97,667,70.56,15,23423,1763267.65,3.5,7.21
Ponorogo,2020,0.21,86.74,727,70.81,15,21654,1913321.73,4.45,7.54
Ponorogo,2021,0.08,89.94,732,71.06,14,22336,1938321.73,4.38,7.55
Probolinggo,2018,1.15,217.06,685,64.85,16,27547,2042900.06,4,5.71
Probolinggo,2019,1.44,207.22,689,65.6,17,29094,2306944.93,3.77,5.77
Probolinggo,2020,0.12,218.35,679,66.07,16,29280,2503265.95,4.86,6.11
Probolinggo,2021,0.26,223.32,681,66.26,16,30803,2553265.95,4.55,6.12
Purbalingga,2018,0.02,144.16,1190,68.41,18,25065,1655200,6.02,7
Purbalingga,2019,0.34,140.07,1378,68.99,19,26810,1788500,4.73,7.14
Purbalingga,2020,0.03,149.48,1474,68.97,17,25204,1940800,6.1,7.24
Purbalingga,2021,0.05,153.08,1487.41,69.15,19,26190,1988000,6.05,7.25
Purwakarta,2018,0.29,75.9,1155,69.98,22,66201,3445616.9,9.94,7.75
Purwakarta,2019,0.23,71.9,1166,70.67,19,71580,3722299.94,9.73,7.92
Purwakarta,2020,0.04,80.2,1208,70.82,21,67430,4039067.66,11.07,8.09
Purwakarta,2021,0.02,84.3,1225,70.98,23,69985,4173568.61,10.7,8.1
Purworejo,2018,0.02,83.55,692,71.87,14,24296,1573000,4.43,7.7
Purworejo,2019,0.07,82.17,658,72.5,14,26101,1700000,2.91,7.91
Purworejo,2020,,84.79,705,72.68,14,24255,1845000,4.04,8.12
Purworejo,2021,0.04,88.80,708.74,72.98,15,25357,1905400,3.59,8.21
Rembang,2018,0.04,97.44,625,69.46,18,27921,1535000,2.83,6.95
Rembang,2019,0.25,95.26,719,70.15,18,29819,1660000,3.6,7.15
Rembang,2020,0.04,100.08,727,70.02,16,29387,1802000,4.83,7.16
Rembang,2021,0.04,101.40,730.18,70.43,17,30985,1861000,3.67,7.3
Sampang,2018,3,204.82,786,61,14,19726,1632201.84,2.38,4.36
Sampang,2019,1.86,202.21,794,61.94,14,20191,1763267.65,2.71,4.55
Sampang,2020,0.31,224.74,786,62.7,13,20503,1913321.73,3.35,4.85
Sampang,2021,1.19,237.23,792,62.8,13,21097,1913321.73,3.45,4.86
Semarang,2018,,75.67,1099,73.61,18,44385,1900000,2.25,7.88
Semarang,2019,0.1,73.9,1109,74.14,18,47302,2055000,2.54,8.01
Semarang,2020,,79.88,1108,74.1,16,46666,2229880.5,4.57,8.02
Semarang,2021,0.04,83.61,1115.38,74.24,19,48880,2302798,5.02,8.03
Sidoarjo,2018,0.03,125.75,3495,79.5,20,85373,3577428.68,4.62,10.24
Sidoarjo,2019,0.05,119.29,3546,80.05,21,90618,3864696.2,4.62,10.25
Sidoarjo,2020,0.02,127.05,3283,80.29,20,94818,4193581.85,10.97,10.5
Sidoarjo,2021,0.01,137.15,3298,80.65,19,100694,4293581.85,10.87,10.72
Situbondo,2018,0.11,80.27,407,66.42,19,27733,1616903.62,1.85,6.11
Situbondo,2019,0.85,76.44,409,67.09,19,29578,1763267.65,2.77,6.12
Situbondo,2020,0.04,83.74,411,67.38,18,29244,1913321.73,3.85,6.46
Situbondo,2021,0.16,86.95,412,67.78,19,30800,1938321.73,3.68,6.62
Sleman,2018,0.14,92.04,2099,83.42,14,36279.55,1574550,4.4,10.66
Sleman,2019,0.07,90.17,2122,83.85,13,38553,1701000,3.93,10.67
Sleman,2020,,99.78,1959,83.84,12,40719,1846000,5.09,10.91
Sleman,2021,0.01,108.93,1977,84,14,43556,1903500,5.17,10.92
Sragen,2018,,116.37,938,72.96,16,39532,1546492.72,4.83,7.22
Sragen,2019,0.11,113.83,946,73.43,17,42695,1673500,3.32,7.34
Sragen,2020,0.02,119.38,1038,73.95,15,38827,1815914.85,4.75,7.65
Sragen,2021,0.02,122.91,1044.72,74.08,16,40754,1829500,4.76,7.66
Subang,2018,0.08,136.6,834,68.31,20,23762,2529759.97,8.71,6.84
Subang,2019,0.15,129.2,843,68.69,17,25983,2732899.7,8.68,6.85
Subang,2020,0.21,149.8,842,68.95,19,25208,2965468,9.48,7.1
Subang,2021,0.03,159,849,69.13,20,26348,3064218.08,9.77,7.11
Sukabumi,2018,0.29,166.3,594,66.05,21,25040,2583556.63,7.84,6.8
Sukabumi,2019,0.25,153.3,595,66.87,21,26968,2791016.23,8.05,7.02
Sukabumi,2020,0.23,175.1,657,66.88,21,24838,3028531.71,9.6,7.07
Sukabumi,2021,0.08,194.4,666,67.07,23,25615,3125444.72,9.51,7.1
Sukoharjo,2018,0.13,65.43,1897,76.07,16,38648,1648000,2.72,8.84
Sukoharjo,2019,0.54,63.55,1824,76.84,16,41630,1783500,3.39,9.1
Sukoharjo,2020,0.06,68.89,1856,76.98,16,40700,1938000,6.93,9.34
Sukoharjo,2021,0.01,73.84,1863.76,77.13,17,42771,1986450,3.32,9.35
Sumedang,2018,0.03,112.1,757,70.99,18,28292,2678028.99,7.54,8.17
Sumedang,2019,0.19,104.2,759,71.46,15,30341,2893074.72,7.7,8.27
Sumedang,2020,0.06,118.4,759,71.64,18,30821,3139275.37,9.89,8.51
Sumedang,2021,,126.3,764,71.8,19,32130,3241929.67,9.18,8.52
Sumenep,2018,0.81,218.6,543,65.25,14,30135,1645146.48,1.75,5.23
Sumenep,2019,1.22,211.98,545,66.22,13,30569,1801406.09,2.08,5.46
Sumenep,2020,0.5,220.23,563,66.43,13,29166,1954705.75,2.84,5.71
Sumenep,2021,0.85,224.73,565,67.04,13,31145,1954705.75,2.31,5.92
Tasikmalaya,2018,0.31,172.4,686,65,16,19428,1920937.99,6.92,7.13
Tasikmalaya,2019,0.4,159.9,688,65.64,15,20925,2075189.31,6.31,7.17
Tasikmalaya,2020,0.35,181.5,731,65.67,16,20120,2251787.92,7.12,7.35
Tasikmalaya,2021,0.18,200.6,738,65.9,18,20855,2251787.92,6.16,7.48
Tegal,2018,0.11,114.06,1634,67.33,19,22801,1617000,8.24,6.7
Tegal,2019,0.71,109.94,1644,68.24,19,24568,1747000,8.12,6.86
Tegal,2020,0.09,117.50,1823,68.39,16,22154,1896000,9.82,6.98
Tegal,2021,0.04,123.52,1836.1,68.79,18,23210,1958000,9.97,6.99
Temanggung,2018,0.19,75.39,880,68.83,17,26423,1557000,3.23,6.94
Temanggung,2019,0.3,72.57,922,69.56,18,28174,1682027.1,2.98,7.15
Temanggung,2020,0.09,77.33,943,69.57,16,27326,1825200,3.85,7.24
Temanggung,2021,0.01,79.09,948.3,69.88,18,28484,1885000,2.62,7.25
Trenggalek,2018,0.13,83.5,606,68.71,16,24974,1509816.12,4.12,7.27
Trenggalek,2019,0.28,76.44,607,69.46,17,26634,1763267.65,3.36,7.28
Trenggalek,2020,0.05,81.06,637,69.74,16,25087,1913321.73,4.11,7.55
Trenggalek,2021,0.07,84.89,641,70.06,17,26124,1938321.73,3.53,7.56
Tuban,2018,0.08,178.64,637,67.43,15,51990,2067612.56,2.76,6.52
Tuban,2019,0.31,170.8,639,68.37,15,55401,2333641.85,2.7,6.81
Tuban,2020,0.03,187.13,653,68.4,15,52085,2532234.77,4.81,6.95
Tuban,2021,0.02,192.58,656,68.91,15,54775,2532234.77,4.68,7.18
Tulungagung,2018,0.04,75.23,980,71.99,16,35252,1671035.77,2.53,8.06
Tulungagung,2019,0.15,70.01,984,72.62,17,37725,1805219.94,3.29,8.07
Tulungagung,2020,0.01,76.4,1032,73,16,35143,1958844.16,4.61,8.33
Tulungagung,2021,0.01,78.59,1039,73.15,17,36629,2010000.00,4.91,8.34
Wonogiri,2018,0.07,102.84,525,69.37,14,28353,1542000,2.28,6.88
Wonogiri,2019,0.65,98.28,535,69.98,15,30425,1655000,2.55,7.04
Wonogiri,2020,0.01,104.37,582,70.25,14,28009,1797000,4.27,7.33
Wonogiri,2021,0.02,110.46,585,70.49,16,29144,1827000,2.43,7.34
Wonosobo,2018,0.22,138.32,800,67.81,17,22217,1585000,3.5,6.75
Wonosobo,2019,0.17,131.35,805,68.27,17,23907,1712500,3.43,6.76
Wonosobo,2020,0.01,137.64,896,68.22,16,21487,1859000,5.37,6.81
Wonosobo,2021,0.06,139.67,903.41,68.43,18,22396,1920000,5.26,6.82
